userID;isbn;bookRating
270650283;0590353403;10
270650283;0618002227;9
276744;038550120X;7
276747;0060517794;9
276747;0671537458;9
276754;0684867621;8
276755;0451166892;5
276788;043935806X;7
276788;055310666X;10
276796;0330332775;5
276804;0440498058;8
276822;0060096195;10
276822;0786817070;10
276830;0440225825;9
276832;0345446860;5
276872;0425167097;8
276872;042518109X;8
276887;0812533550;9
276896;0440241537;10
276925;002542730X;10
276925;0385504209;8
276928;059030271X;5
276953;0446310786;10
276957;0312966970;6
276964;0345354621;10
276964;0440220602;9
276964;0684867621;8
276964;0886773741;7
276986;0060930187;10
276986;0375760911;10
276986;0689817851;10
276988;0061083259;7
276988;0671793489;8
276994;3423202327;6
276994;3492045170;7
277036;0812511816;9
277042;0312283709;8
277042;0446605484;7
277042;0446611212;8
277042;0609804138;9
277042;074343627X;8
277042;0971880107;2
277051;0330262130;10
277051;0385720920;10
277051;0553262505;7
277072;1573229571;9
277085;0434009407;8
277096;0064407667;7
277109;0425191184;5
277124;0425189864;9
277124;0440236053;9
277124;0440241073;9
277124;0553586122;5
277143;0345342968;9
277143;0767903382;8
277157;0316154059;5
277157;0375727981;5
277157;0399146504;7
277157;0399148639;6
277157;0671024094;7
277157;0679450408;6
277157;0743486226;7
277168;0671032658;4
277171;0449213730;8
277171;0451173139;7
277171;0553580930;9
277179;0440414806;10
277187;0679745203;9
277188;0525945636;4
277195;0060391626;10
277195;0330332775;10
277195;0553379615;10
277195;0670869902;10
277195;0671021001;10
277195;1573221856;10
277197;0316969680;8
277197;0375703861;7
277203;039480001X;9
277205;0671664964;7
277212;044023722X;8
277229;0312282990;7
277230;037541309X;7
277235;014029628X;6
277235;0375703861;10
277237;038550926X;7
277243;0449005909;8
277246;0452282152;10
277253;0380807343;9
277257;0345422384;8
277261;0440241073;7
277315;0060173289;8
277315;0060976845;5
277353;0739417096;8
277363;0156027321;8
277364;0553576801;5
277367;0312276885;10
277378;0312195516;7
277378;0446608955;4
277378;0670892963;7
277378;0804114986;5
277397;0399140751;8
277427;002542730X;10
277427;0061009059;9
277427;0316776963;8
277427;0345413903;10
277427;0385424736;9
277427;0385486804;9
277427;0385503857;9
277427;0385504209;8
277427;0399501487;9
277427;0425116840;8
277427;0440224764;7
277427;0440236061;8
277427;0440236738;9
277427;0441627404;10
277427;0446350982;9
277427;0446608890;10
277427;0451191153;8
277427;0451203593;10
277427;0452284449;6
277427;0553280368;9
277427;0553351672;10
277427;0553571656;10
277427;0671037692;8
277427;0679419853;10
277427;0679731148;9
277427;0743406176;8
277427;0743412028;9
277427;0767903382;10
277427;0786866845;10
277439;0316666343;7
277439;0671027360;7
277462;0312195516;10
277466;0380718340;7
277466;0553292722;8
277466;0553571885;8
277469;0553572997;9
277474;014038572X;5
277478;1558745718;8
277502;0385482388;9
277517;0452282152;8
277523;0316603570;10
277523;0316693200;10
277523;0385508042;10
277523;0385510438;10
277523;0440241537;10
277523;0446530891;10
277523;0446613843;10
277523;0515133302;10
277523;0671886665;10
277523;0684835983;10
277523;0743206045;10
277523;1558744150;10
277527;0316777722;10
277527;0679439382;7
277527;0679723161;8
277529;0064400557;8
277533;0452268060;7
277533;0679734775;6
277535;0316601950;9
277554;0345392825;9
277554;0345435168;3
277554;0452268060;5
277556;0345318587;10
277563;044667883X;5
277575;0142004235;5
277575;0446608262;9
277589;0553263226;9
277598;0375707972;8
277601;0312421273;3
277619;0618002219;8
277623;002542730X;5
277623;0028604199;9
277623;0786890436;4
277623;1400031346;8
277623;1400031354;8
277629;0380018179;8
277629;0385472943;8
277629;0425116840;6
277629;0440241073;8
277629;0671000314;8
277633;0553245694;7
277639;034539657X;8
277639;0380731851;6
277639;042516098X;5
277639;0440211727;8
277639;0440214041;9
277639;0553579754;7
277641;0375406328;7
277641;0452277337;8
277647;067976397X;8
277651;0743225406;8
277662;051510566X;5
277662;0743206061;4
277691;0446607657;9
277698;0316769487;6
277710;0061015725;4
277710;0425192032;9
277710;0446611638;5
277710;0446613843;6
277710;0451208765;10
277710;0451210840;5
277710;0451210867;5
277710;0451210875;8
277710;0553582763;6
277722;0061031070;7
277722;0449005615;10
277722;0553381520;8
277722;0804114986;8
277743;0446310786;9
277744;0312421273;7
277744;0345339681;3
277744;0345377443;8
277744;0440235162;5
277744;0887307876;9
277752;0316666343;7
277752;0679734775;8
277756;0385484518;7
277759;0553211404;7
277761;0385502532;8
277764;0399501487;9
277765;0553272535;8
277776;0345339681;7
277778;0061097314;8
277783;0380778556;8
277794;0440967694;8
277795;0064406601;5
277798;0385484518;8
277802;0553210793;6
277803;0142001740;8
277807;0345443284;5
277808;0553272535;9
277827;0380778556;9
277828;0380778556;8
277835;014032724X;10
277879;0451204492;7
277884;0380789019;7
277901;0446672211;7
277901;0446675059;7
277901;0452282152;8
277903;0440226430;8
277904;006019491X;7
277911;0399138250;10
277913;0452284937;4
277915;0452269571;8
277915;0671510053;7
277922;0345384377;7
277922;0440225701;6
277922;0446609943;7
277922;0553580191;9
277922;0553582917;10
277923;0385492081;9
277928;0374266441;9
277928;0385301499;8
277928;0679751602;10
277928;0804105820;9
277937;0060934417;9
277937;0316168815;7
277937;0345468694;6
277937;0452283205;7
277937;0743225325;6
277937;0743237188;7
277938;0446672211;9
277938;0743437802;9
277945;0312974256;6
277945;0312983301;6
277945;0451203771;8
277945;0515121843;7
277945;051512317X;7
277945;0515124214;7
277945;0515134384;7
277945;0515136379;7
277945;0515136530;7
277945;0515137111;8
277958;0142001740;9
277959;0156027321;8
277959;0743204697;10
277959;0767905385;6
277965;0316789089;5
277965;0385484518;10
277965;0399141464;8
277965;0399145087;7
277965;0679457526;9
277965;0684874350;10
277965;0786866845;9
277965;0786881852;7
277969;0446527785;8
277984;0345386108;10
277984;0446611778;10
277989;1558745157;6
277997;067976402X;8
278007;0316601950;6
278007;034543479X;8
278007;0374480095;8
278007;0446670251;6
278007;0804115761;7
278026;0061009059;8
278026;0061031410;8
278026;0380731851;5
278026;0399142649;8
278026;0446527041;8
278026;0449006522;8
278026;0449219364;6
278026;0449221512;5
278026;0451206525;8
278026;0515130389;8
278026;0553582364;6
278026;0671001795;8
278026;0743206045;7
278044;0553564528;7
278048;0316569321;7
278048;0345435168;5
278063;0452281253;7
278075;044900371X;7
278075;0452282152;8
278079;0385486804;8
278079;0440236053;5
278085;0374270325;7
278100;0451160916;8
278106;0140244824;9
278107;0446605239;8
278110;0671870998;8
278112;0385472951;8
278119;044661162X;9
278122;0375727345;10
278131;0060958022;8
278137;0345337662;7
278137;0380600129;8
278137;0440940001;8
278137;0446606812;7
278137;0804106304;8
278137;1558744150;9
278159;0385318073;5
278160;044022425X;8
278162;059035342X;10
278176;0971880107;9
278185;0060198346;7
278185;0142000205;4
278188;0156005891;8
278188;0373218192;7
278188;0373484003;7
278188;0440122090;4
278188;044022103X;8
278188;0440225701;9
278188;0446603589;9
278188;0671644459;7
278188;0743410181;6
278194;0060926317;8
278194;0140280553;5
278194;0385498802;4
278194;0440212723;9
278194;0440241537;7
278194;0451209907;5
278194;0452284449;8
278194;051512219X;4
278194;0553582364;6
278194;0671683993;8
278194;0688177859;9
278194;0802139256;6
278197;0553574671;7
278202;0060198346;3
278202;014025448X;2
278202;0312252617;4
278202;0385319568;9
278202;0385324057;3
278202;0385334710;10
278202;0385497466;3
278202;0399145060;5
278202;0399148019;3
278202;0446527017;1
278202;0446527130;8
278202;0743206029;8
278218;0060977493;7
278218;0140039589;7
278218;0349101779;10
278220;0671003755;8
278221;0440216745;7
278221;0446613436;7
278221;0553582755;9
278221;0743460529;8
278221;0804106304;9
278243;0156027321;8
278243;0375725784;7
278243;0671510053;8
278246;0618129030;8
278254;0671027360;8
278255;0440241162;8
278257;0451153553;8
278257;0451170385;9
278259;0451173139;10
278263;0373218036;8
278300;0345447832;7
278314;0385319959;7
278314;0399146431;7
278314;1573221775;2
278325;0440214041;7
278333;0440225701;10
278342;0671510053;8
278342;0743225406;8
278346;0345334531;6
278346;051513287X;6
278350;0312195516;9
278356;0312265859;7
278356;0374270325;9
278356;0439064872;8
278356;0439136369;10
278356;0439139600;10
278356;043935806X;10
278361;0671868691;7
278390;0380730847;7
278390;0399147195;7
278390;0425182908;4
278390;0440236053;7
278390;044661257X;8
278390;0553569058;9
278390;0671027360;7
278390;0671683993;10
278390;080410753X;9
278411;0446610542;8
278418;0394820371;8
278418;042513525X;5
278418;0425140032;5
278418;0425178102;7
278418;042518630X;7
278418;0440207622;7
278418;0515130389;8
278418;0515131229;8
278422;0060935464;9
278422;0385475721;8
278422;0671027360;6
278446;0743418190;6
278465;0440217466;10
278469;0316569321;7
278469;0446679593;6
278469;0743237188;7
278475;0060185147;7
278483;0380731851;8
278487;0553578693;10
278500;0425167720;5
278520;0316693251;8
278522;0743225406;5
278525;0394820371;10
278525;0446518581;8
278534;044900371X;6
278535;0425178765;8
278535;0425182878;9
278535;0440221595;7
278535;0446605484;10
278535;0446610038;10
278535;0446611212;9
278535;0449003787;9
278535;0449219461;8
278536;0553106686;8
278541;0142001740;9
278541;1931561648;10
278543;0446605239;5
278543;0553096834;7
278545;0440200989;9
278550;0345339703;10
278551;0425129586;6
278551;044041833X;7
278551;0590660543;5
278552;0671021001;7
278552;0671510053;8
278554;0060096195;9
278554;0140292683;8
278554;0140293450;8
278554;0330375253;8
278554;0385730586;9
278556;0671028375;7
278561;0446612545;7
278582;0312980140;7
278582;0312983298;3
278582;0312983867;7
278582;0312990456;5
278582;0345350499;10
278582;0449221512;8
278582;0451202503;10
278582;0515136557;8
278582;0671001795;8
278582;1400034779;10
278586;0440224624;3
278586;0446606812;5
278601;0767902890;8
278633;0060987561;10
278633;0140244824;7
278633;014028009X;2
278633;0142000205;7
278633;0316096199;8
278633;0316666343;9
278633;0316899984;7
278633;0375703063;7
278633;0440226430;9
278633;0440514428;9
278633;0446679593;8
278633;0449907481;6
278633;0451163524;5
278633;0553278355;8
278633;0671038184;8
278633;0679425268;9
278633;0684814994;10
278633;0688162827;9
278633;0688170528;8
278633;0743225082;7
278633;1882723007;8
278641;0765342294;9
278645;0060959037;8
278653;0446606812;6
278663;0061097314;4
278663;0440223202;10
278672;0679731148;7
278683;0446364495;1
278694;0743437802;9
278698;0440241073;10
278723;0446607657;4
278724;0679735909;8
278732;0786867647;8
278740;0446609404;8
278755;0385492081;1
278773;0380731851;8
278773;0553578316;3
278786;0399146164;6
278798;0316284955;7
278798;0786868015;7
278800;0312995423;9
278807;0449223612;10
278820;0399135790;3
278824;0671014188;6
278828;0671014196;8
278832;155874262X;10
278832;1558745718;10
278836;0312983867;8
278843;0060173289;9
278843;0060517794;7
278843;014028009X;8
278843;0142000205;9
278843;0399146431;9
278843;0440211263;7
278843;0553274503;8
278843;059035342X;8
278843;0767902890;9
278843;0786881852;8
278844;0345387651;6
278846;0060809833;8
278851;1558531025;8
278854;0375703063;7
278854;042516098X;7
278854;0553579606;8
9;0452264464;6
16;0345402871;9
26;0446310786;10
26;0449005615;9
32;0060168013;8
39;0553582909;8
39;0671888587;7
42;0553582747;7
51;0440225701;9
75;1558531025;5
91;0316769487;9
97;0671867156;7
99;0312252617;8
99;0446677450;10
99;0451166892;3
114;0446608653;9
114;0446612545;9
114;0451208080;8
114;0553584383;9
114;0671027360;10
125;0679429220;10
165;0060976845;9
165;0446612545;5
169;0446601640;7
183;8401422825;9
185;0380778556;10
224;0446527165;8
226;0671461494;8
228;039575514X;9
230;0451206673;6
242;0553278223;10
242;3257208626;8
243;0060915544;10
243;0060977493;7
243;0140272100;6
243;0316601950;9
243;0316776963;9
243;0316899984;7
243;0375400117;10
243;0385720106;7
243;0425163407;9
243;044023722X;7
243;0446364800;9
243;0446606383;6
243;0449006522;6
243;155874262X;5
244;0060977493;7
244;0060987103;8
244;0151008116;9
244;0525947647;9
244;0804111359;8
244;155874262X;6
244;1558744150;6
254;0064471047;7
254;0142001740;9
254;037582345X;9
254;0375823468;9
254;0380789035;10
254;0380973634;10
254;0380977281;8
254;0399146431;9
254;0439064864;9
254;0439064872;9
254;0439136350;9
254;0439136369;9
254;0439139597;9
254;0451167317;8
254;0451524934;9
254;0451526341;8
254;0553280325;8
254;0590353403;9
254;0618002219;9
254;0618002227;8
254;0671021001;7
254;0679879242;8
256;0440235502;9
256;044023722X;8
272;0060977477;7
272;0670856045;7
280;0316769487;7
300;0812541642;5
332;0380730138;6
367;0449005615;9
383;0385416342;10
387;1590071212;9
388;0060976845;3
388;006101351X;6
388;0449002632;7
388;0553569058;10
388;1878424319;7
413;0553210092;8
424;0452277337;7
424;0671021001;6
424;0805063897;8
433;0842329129;5
440;0743424425;10
440;0786868015;7
441;0446610178;7
446;0060932759;8
446;039914739X;3
453;0312278586;6
486;0060976845;8
486;0451202341;8
486;0743418190;7
487;0345441133;7
487;0385335407;8
487;0385490992;7
487;0671888587;6
493;0385472951;8
496;0425182878;8
496;055356451X;8
499;0743412621;10
503;0140179836;10
503;0385496095;10
503;068484267X;10
503;1558743669;10
505;0345313860;7
505;0385306032;8
507;0140230165;7
507;0142001740;10
507;0553564528;7
507;0553576801;7
507;0553583441;7
507;0553583468;7
507;0679893105;9
508;0440122090;7
512;0671525832;5
523;0060930187;8
537;0679450432;7
558;0446364193;8
566;0399144463;2
567;0140185216;10
595;0140293248;9
595;0446610399;9
595;0446672211;10
638;0151001006;10
638;0316603287;9
638;0316666343;10
638;0316693006;10
638;0316693200;9
638;0316769487;10
638;0316776963;10
638;0316779423;10
638;0316779490;9
638;0316789089;10
638;0316969443;10
638;0345339711;10
638;0385420161;9
638;0385470819;9
638;0385500769;10
638;0385504209;10
638;0385505833;10
638;0425184129;9
638;0446523569;10
638;0446525502;9
638;0446525537;9
638;0446527793;10
638;0446531332;10
638;0670892963;7
638;0679442790;10
638;0679746048;7
638;0743230051;9
638;0743406176;10
641;0064407667;5
643;0671894455;7
651;0786886463;7
657;038529929X;6
660;1573229571;8
685;0743211383;10
695;0451205421;7
709;0316666343;3
709;0345391802;7
709;0440219078;10
713;0753804700;10
714;0451155750;7
735;038533334X;4
735;0440224829;9
735;044661162X;9
746;0394820371;8
753;0871137380;10
763;0553211412;8
763;0671510053;10
763;0805062971;10
769;0060914653;10
774;055321313X;8
777;0874067391;9
778;039914739X;10
780;0449911004;10
785;0743237188;5
786;0553584510;6
786;0553586122;3
805;0060928336;7
805;0156027321;9
805;0316777730;7
805;038001503X;10
805;039592720X;9
805;0440215625;8
805;0452282152;8
805;0553268449;8
805;0671003755;8
805;0679732764;10
805;0684844729;8
819;0345384466;5
819;0446364193;7
819;0451124340;5
824;0679734775;5
834;0671027344;7
843;006019491X;8
882;0064401847;10
882;0373218400;5
882;0373484224;7
882;0380018179;10
882;0385504209;10
882;0425179672;10
882;0440235162;10
882;0515135062;6
882;0553247921;10
882;0553250426;10
882;0553280589;10
882;0553572997;10
882;067101420X;4
882;0679429220;9
882;067976402X;10
885;0380002450;9
885;0804106304;5
899;0971880107;2
900;0060928336;9
901;000649840X;9
901;0099771519;9
915;0156027321;10
929;0345331605;7
929;0385314744;7
929;0439404371;8
929;0440224624;6
929;0451169530;6
929;0553296981;10
929;0671461494;8
929;0671617028;8
938;0385335482;9
941;0553258001;9
965;0805063889;9
999;0441003257;7
1003;0451202503;5
1008;0312195516;9
1009;0399149759;8
1009;0671028375;10
1016;0399146008;7
1021;0060930535;10
1022;0375702709;10
1024;0060916508;7
1024;0671038184;5
1025;0060928336;5
1025;0142000663;10
1025;0380012863;8
1025;0552996009;9
1025;0552998001;9
1025;068484267X;9
1025;0743225082;8
1031;0671027360;7
1032;006092988X;8
1032;038531258X;10
1032;0446310786;10
1038;0140317937;5
1040;0743225406;5
1054;1400034779;8
1060;0786885688;8
1063;0671880187;5
1075;0142001740;10
1075;0316666343;7
1075;0375726403;7
1075;0385504209;7
1075;0553377868;9
1075;0609608444;10
1075;0767902521;9
1075;1400034779;5
1083;014131088X;10
1083;0345325818;10
1083;080410753X;7
1108;0385508417;7
1111;0385510438;8
1113;0385324057;9
1116;0425185710;6
1118;0399144463;8
1129;0064407667;4
1129;014025448X;7
1129;0385472951;6
1129;0385493800;6
1129;0553377876;3
1131;0060934417;8
1131;0060976845;7
1131;0070212570;7
1131;0312243022;8
1131;0312983824;6
1131;0345370805;7
1131;0375703055;7
1131;0385480016;9
1131;0440214424;8
1131;0446672211;7
1131;0446673544;5
1131;0451187903;7
1131;0451523067;8
1131;0671004565;6
